"date","new_deaths","mm7_mortes"
"2020-01-22","0","0.00"
"2020-01-23","0","0.00"
"2020-01-24","0","0.00"
"2020-01-25","0","0.00"
"2020-01-26","0","0.00"
"2020-01-27","0","0.00"
"2020-01-28","0","0.00"
"2020-01-29","0","0.00"
"2020-01-30","0","0.00"
"2020-01-31","0","0.00"
"2020-02-01","0","0.00"
"2020-02-02","0","0.00"
"2020-02-03","0","0.00"
"2020-02-04","0","0.00"
"2020-02-05","0","0.00"
"2020-02-06","0","0.00"
"2020-02-07","0","0.00"
"2020-02-08","0","0.00"
"2020-02-09","0","0.00"
"2020-02-10","0","0.00"
"2020-02-11","0","0.00"
"2020-02-12","0","0.00"
"2020-02-13","0","0.00"
"2020-02-14","0","0.00"
"2020-02-15","0","0.00"
"2020-02-16","0","0.00"
"2020-02-17","0","0.00"
"2020-02-18","0","0.00"
"2020-02-19","0","0.00"
"2020-02-20","0","0.00"
"2020-02-21","0","0.00"
"2020-02-22","0","0.00"
"2020-02-23","0","0.00"
"2020-02-24","0","0.00"
"2020-02-25","0","0.00"
"2020-02-26","0","0.00"
"2020-02-27","0","0.00"
"2020-02-28","0","0.00"
"2020-02-29","0","0.00"
"2020-03-01","0","0.00"
"2020-03-02","0","0.00"
"2020-03-03","0","0.00"
"2020-03-04","0","0.00"
"2020-03-05","0","0.00"
"2020-03-06","0","0.00"
"2020-03-07","0","0.00"
"2020-03-08","0","0.00"
"2020-03-09","0","0.00"
"2020-03-10","0","0.00"
"2020-03-11","0","0.00"
"2020-03-12","0","0.00"
"2020-03-13","0","0.00"
"2020-03-14","0","0.00"
"2020-03-15","0","0.00"
"2020-03-16","0","0.00"
"2020-03-17","1","0.14"
"2020-03-18","2","0.43"
"2020-03-19","3","0.86"
"2020-03-20","5","1.57"
"2020-03-21","4","2.14"
"2020-03-22","10","3.57"
"2020-03-23","9","4.86"
"2020-03-24","12","6.43"
"2020-03-25","13","8.00"
"2020-03-26","18","10.14"
"2020-03-27","15","11.57"
"2020-03-28","19","13.71"
"2020-03-29","25","15.86"
"2020-03-30","23","17.86"
"2020-03-31","42","22.14"
"2020-04-01","39","25.86"
"2020-04-02","84","35.29"
"2020-04-03","35","38.14"
